,station,design_temp,province
307,Shepherd Bay AP,60,NU
309,Armstrong,80,ON
310,Atikokan,82,ON
311,Bancroft,83,ON
312,Beausoleil,83,ON
313,Belle River,86,ON
314,Belleville,84,ON
315,Big Trout Lake,76,ON
316,Big Trout Lake Readac,78,ON
317,Burlington Piers,84,ON
318,Chatham,87,ON
319,Cobourg,76,ON
320,Collingwood,83,ON
321,Cornwall,87,ON
322,Cove Island,73,ON
323,Earlton AP,81,ON
324,Erieau,79,ON
325,Geraldton AP,80,ON
326,Goderich,81,ON
327,Gore Bay AP,79,ON
328,Great Duck Island,74,ON
329,Grenadier Island,83,ON
330,Hamilton,86,ON
331,Kapuskasing AP,81,ON
332,Kenora AP,82,ON
333,Killarney,75,ON
334,Kingston,84,ON
335,Kitchener,85,ON
336,Lagoon City,79,ON
337,Lansdowne House,79,ON
338,London Int'L AP,83,ON
339,Long Point,77,ON
340,Moosonee AP,81,ON
341,Mount Forest,81,ON
342,Muskoka AP,80,ON
343,Nagagami,82,ON
344,North Bay AP,79,ON
345,Oshawa,86,ON
346,"Ottawa, Macdonald-Cartier IAP",84,ON
347,Owen Sound,82,ON
348,Peawanuck,79,ON
349,Petawawa AP,83,ON
350,Peterborough AP,83,ON
351,Pickle Lake,80,ON
352,Point Petre,77,ON
353,Port Colborne,77,ON
354,Port Weller,82,ON
355,Pukaskwa,70,ON
356,Red Lake AP,81,ON
357,Saint Catharines,85,ON
358,Sarnia,86,ON
359,Sault Ste Marie AP,80,ON
360,Simcoe,83,ON
361,Sioux Lookout AP,81,ON
362,Sudbury AP,81,ON
363,Thunder Bay AP,81,ON
364,"Timmins, Victor Power AP",81,ON
365,"Toronto, Buttonville AP",86,ON
366,Toronto Island AP,80,ON
367,"Toronto, Lester B. Pearson IAP",85,ON
368,Trenton AP,82,ON
369,Upsala,80,ON
370,Wawa,75,ON
371,Welcome Island,73,ON
372,Wiarton AP,80,ON
373,Windsor AP,87,ON
375,Amqui,80,QC
376,Bagotville AP,81,QC
377,Baie-Comeau,74,QC
378,Baie-Comeau AP,72,QC
379,Barrage Temiscamingue,83,QC
380,Beauceville,81,QC
381,Blanc-Sablon AP,63,QC
382,Bonnard,76,QC
383,Cap-Chat,70,QC
384,Cap-D'Espoir,68,QC
385,Cap-Madeleine,72,QC
386,Cap-Rouge,78,QC
387,Cap-Tourmente,81,QC
388,Charlevoix,73,QC
389,Chevery,66,QC
390,"Chibougamau, Chapais AP",78,QC
391,Chicoutimi,83,QC
392,Chute-Des-Passes,78,QC
393,Deschambault,81,QC
394,Drummondville,85,QC
395,Frelighsburg,82,QC
396,Gaspe AP,78,QC
397,Granby,85,QC
398,Grindstone Island,70,QC
399,Havre-Saint-Pierre AP,71,QC
400,Heath Point,64,QC
401,Hull,87,QC
402,Ile Aux Perroquets,60,QC
403,Ile Rouge,62,QC
404,Iles De La Madeleine,73,QC
405,Inukjuak AP,65,QC
406,Jonquiere,81,QC
407,Kuujjuaq AP,71,QC
408,Kuujjuarapik AP,72,QC
409,L'Acadie,84,QC
410,L'Assomption,84,QC
411,L'Etape,74,QC
412,La Baie,81,QC
413,La Grande Iv AP,76,QC
414,La Grande Riviere AP,76,QC
415,La Pocatiere,80,QC
416,La Tuque,83,QC
417,Lac Benoit,76,QC
418,Lac Eon,75,QC
419,Lac Saint-Pierre,79,QC
