"REF_DATE","GEO","DGUID","Air conditioners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Halifax, Nova Scotia","2011S0503205","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709617","14.1","27","E","","","0"
"2013","Halifax, Nova Scotia","2011S0503205","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709618","14.2","","F","","","0"
"2013","Halifax, Nova Scotia","2011S0503205","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709619","14.3","","F","","","0"
"2013","Halifax, Nova Scotia","2011S0503205","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709620","14.4","21","E","","","0"
"2013","Halifax, Nova Scotia","2011S0503205","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709621","14.5","76","","","","0"
"2013","Moncton, New Brunswick","2011S0503305","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709622","15.1","47","","","","0"
"2013","Moncton, New Brunswick","2011S0503305","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709623","15.2","17","E","","","0"
"2013","Moncton, New Brunswick","2011S0503305","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709624","15.3","35","E","","","0"
"2013","Moncton, New Brunswick","2011S0503305","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709625","15.4","31","E","","","0"
"2013","Moncton, New Brunswick","2011S0503305","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709626","15.5","65","","","","0"
"2013","Saint John, New Brunswick","2011S0503310","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709627","16.1","","F","","","0"
"2013","Saint John, New Brunswick","2011S0503310","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709628","16.2","","F","","","0"
"2013","Saint John, New Brunswick","2011S0503310","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709629","16.3","","F","","","0"
"2013","Saint John, New Brunswick","2011S0503310","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709630","16.4","","F","","","0"
"2013","Saint John, New Brunswick","2011S0503310","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709631","16.5","","F","","","0"
"2013","Saguenay, Quebec","2011S0503408","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709632","17.1","30","","","","0"
"2013","Saguenay, Quebec","2011S0503408","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709633","17.2","12","E","","","0"
